id,processed_content
1,bahia cocoa review shower continu week bahia cocoa zone allevi drought earli januari improv prospect come temporao normal humid level restor comissaria smith weekli review dri period mean temporao late year arriv week end februari 22 155 221 bag 60 kilo make a cumul total season 5 93 mln 5 81 stage year cocoa deliv earlier consign includ arriv figur comissaria smith doubt crop cocoa harvest practic end total bahia crop estim 6 4 mln bag sale stand 6 2 mln a hundr thousand bag hand farmer middlemen export processor doubt cocoa fit export shipper experienc dificulti obtain bahia superior certif view lower qualiti recent week farmer sold a good part cocoa held consign comissaria smith spot bean price rose 340 350 cruzado arroba 15 kilo bean shipper reluct offer nearbi shipment limit sale book march shipment 1 750 1 780 dlr tonn port name crop sale light open port june juli 1 850 1 880 dlr 35 45 dlr york juli aug sept 1 870 1 875 1 880 dlr tonn fob routin sale butter made march april sold 4 340 4 345 4 350 dlr april butter 2 27 time york june juli 4 400 4 415 dlr aug sept 4 351 4 450 dlr 2 27 2 28 time york sept oct dec 4 480 dlr 2 27 time york dec comissaria smith destin covert currenc area uruguay open port cake sale regist 785 995 dlr march april 785 dlr 753 dlr aug 0 39 time york dec oct dec buyer argentina uruguay convert currenc area liquor sale limit march april sell 2 325 2 380 dlr june juli 2 375 dlr 1 25 time york juli aug sept 2 400 dlr 1 25 time york sept oct dec 1 25 time york dec comissaria smith total bahia sale estim 6 13 mln bag 1986 87 crop 1 06 mln bag 1987 88 crop final figur period februari 28 expect publish brazilian cocoa trade commiss carniv end midday februari 27
5,nation averag price farmer own reserv agricultur depart report farmer own reserv nation day averag price februari 25 dlr bu sorghum cwt natl loan releas call avg rate level price price wheat 2 55 2 40 iv 4 65 4 65 vi 4 45 corn 1 35 1 92 iv 3 15 3 15 3 25 1986 rate natl loan releas call avg rate level price price oat 1 24 0 99 1 65 barley a 1 56 iv 2 55 2 55 2 65 sorghum 2 34 3 25 iv 5 36 5 36 5 54 reserv ii iii matur level iv reflect grain enter oct 6 1981 feedgrain juli 23 1981 wheat level wheat barley 5 14 82 corn sorghum 7 1 82 level vi cover wheat enter januari 19 1984 1986 rate dlr cwt 100 lb a
6,argentin 1986 87 grain oilse registr argentin grain board figur show crop registr grain oilse product februari 11 thousand tonn show futur shipment month 1986 87 total 1985 86 total februari 12 1986 bracket bread wheat prev 1 655 8 feb 872 0 march 164 6 total 2 692 4 4 161 0 maiz mar 48 0 total 48 0 nil sorghum nil nil oilse export registr sunflowerse total 15 0 7 9 soybean 20 0 total 20 0 nil board detail export registr subproduct subproduct wheat prev 39 9 feb 48 7 march 13 2 apr 10 0 total 111 8 82 7 linse prev 34 8 feb 32 9 mar 6 8 apr 6 3 total 80 8 87 4 soybean prev 100 9 feb 45 1 mar nil apr nil 20 0 total 166 1 218 5 sunflowerse prev 48 6 feb 61 5 mar 25 1 apr 14 5 total 149 8 145 3 veget oil registr sunoil prev 37 4 feb 107 3 mar 24 5 apr 3 2 nil jun 10 0 total 182 4 117 6 linoil prev 15 9 feb 23 6 mar 20 4 apr 2 0 total 61 8 76 1 soybean oil prev 3 7 feb 21 1 mar nil apr 2 0 9 0 jun 13 0 jul 7 0 total 55 8 33 7 reuter
9,champion product lt ch approv stock split champion product board director approv a stock split common share sharehold record april 1 1987 compani board vote recommend sharehold annual meet april 23 increas author capit stock mln 25 mln share
10,comput termin system lt cpml complet sale comput termin system complet sale 200 000 share common stock warrant acquir addit mln share lt sedio lugano switzerland 50 000 dlr compani warrant exercis year a purchas price 125 dlr share comput termin sedio buy addit share increas total hold 40 pct comput termin outstand common stock circumst involv chang control compani compani condit occur warrant exercis a price equal 75 pct common stock market price time exceed 1 50 dlr share comput termin sold technolgi right dot matrix impact technolog includ futur improv lt woodco houston tex 200 000 dlr continu exclus worldwid license technolog woodco compani move part reorgan plan pay current oper cost ensur product deliveri comput termin make comput gener label form tag ticket printer termin
11,cobanco lt cbco year net shr 34 ct 1 19 dlr net 807 000 2 858 000 asset 510 2 mln 479 7 mln deposit 472 3 mln 440 3 mln loan 299 2 mln 327 2 mln note 4th qtr year includ 1985 extraordinari gain tax carri forward 132 000 dlr ct shr
12,ohio mattress lt omt lower 1st qtr net ohio mattress quarter end februari 28 profit 2 4 mln dlr 15 ct a share earn quarter fiscal 1986 compani declin due expens relat acquisit middl current quarter license seali 82 pct outstand capit stock seali acquisit quarter sale substanti higher year 67 1 mln dlr note typic report quarter result late march report issu earli april year delay due administr consider includ conduct apprais connect acquisit
13,intern lt 2nd qtr jan 31 oper shr loss ct profit ct oper shr profit 442 000 profit 2 986 000 rev 291 8 mln 151 1 mln avg shr 51 7 mln 43 4 mln mth oper shr profit nil profit 12 ct oper net profit 3 376 000 profit 5 086 000 rev 569 3 mln 298 5 mln avg shr 51 6 mln 41 1 mln note shr calcul payment prefer dividend result exclud credit 2 227 000 ct 4 841 000 ct 1986 qtr mth 2 285 000 ct 4 104 000 11 ct prior period oper loss carryforward
14,brown forman lt bfd 4th qtr net shr dlr 73 ct net 12 6 mln 15 8 mln rev 337 3 mln 315 2 mln mth shr 3 07 dlr 3 08 dlr net 66 mln 66 2 mln rev 1 59 billion 997 1 mln
18,dean food lt df see strong 4th qtr earn dean food expect earn fourth quarter end 30 exceed year ago period chairman kenneth dougla told analyst fiscal 1986 fourth quarter food processor report earn 40 ct a share dougla year sale exceed 1 4 billion dlr 1 27 billion dlr prior year repeat earlier project quarter earn slightli year 40 ct a share fall rang 34 ct 36 ct a share dougla earli project anticip fourth quarter perform exceed prior year earn 1 53 dlr a share 1988 dougla dean experi a 20 pct improv bottom line effect tax reform act presid howard dean fiscal 1988 compani deriv benefit dairi frozen veget acquisit ryan milk larsen dean compani benefit acquisit late decemb elgin blender west chicago compani a major sharehold food a unit kingdom blender licens arrang australia canada brazil japan ann entri mcdonald corp lt mcd ve year dougla told analyst
